wordform,lemma,pos_tag
Herz,Herz,NOUN
genannten,genannt,ADJ
Zapfen,Zapfen,NOUN
steckt,stecken,VERB
diesem,dieser,DET
runden,rund,VERB
runde,rund,ADJ
Mahlsteins,Mahlstein,NOUN
wirft,werfen,VERB
Weizengraupen,Weizengraupe,NOUN
hinein,hinein,ADV
Holzgriff,Holzgriff,NOUN
dieser,dieser,DET
Länge,Länge,NOUN
Zentimetern,Zentimeter,NOUN
Backtrog,Backtrog,NOUN
neben,neben,ADP
werfen,werfen,VERB
mahlt,mahlen,VERB
Mudd,Mudd,PROPN
soviele,soviel,DET
da,da,ADV
gemahlen,hahlen,VERB
weg,weg,ADV
hören,hören,VERB
auch,auch,ADV
singen,singen,VERB
betrinken,betrinken,VERB
fröhlich,fröhlich,ADJ
Haus,Haus,NOUN
Kopf,Kopf,NOUN
wörtl,wörtl,ADV
jüngsten,jung,ADJ
auferstehen,auferstehen,VERB
Gemüseeintopf,Gemüseeintopf,NOUN
locker,locker,ADJ
Kartoffeleintopf,Kartoffeleintopf,NOUN
Abendessen,Abendessen,NOUN
Mahlenden,Mahlende,NOUN
sitzen,sitzen,VERB
grobmaschige,grobmaschig,ADJ
Siebe,Siebe,NOUN
feinmaschiges,feinmaschiges,ADJ
feine,fein,ADJ
trennt,trennen,VERB
Weizengrütze,Weizengrutz,NOUN
beim,beim,ADV
entstehenden,entstehend,ADJ
Mehl,Mehl,NOUN
feinen,fein,ADJ
fällt,fallen|fällen,VERB
groben,grob,ADJ
siebt,siebt,ADJ
grobe,grob,ADJ
nennen,nennen,VERB
nšīfəl,nšīfəl,PROPN
kuppō,kuppō,PROPN
Weizengrützeklößchen,Weizengrützeklößchen,NOUN
Tartar,Tartar,NOUN
ḳaḳūʕa,ḳaḳūʕa,PROPN
Gericht,Gericht,NOUN
Weizenmehl,Weizenmehl,NOUN
entrahmter,entrahmt,ADJ
darin,darin,ADV
schwimmenden,schwimmend,ADJ
Abend,Abend,NOUN
grob,grob,ADJ
mfalfal,mfalfal,PROPN
grobkörnig,grobkörnig,ADJ
mžáddara,mžáddara,PROPN
Linsen,Linse|Linsen,NOUN
dafīn,dafīn,PROPN
Fleisch,Fleisch,NOUN
wozu,wozu,ADV
Zum,zu,ADP
zum,zu,ADP
Mais,Mais,NOUN
Man,man,PRON
worauf,worauf,ADV
Auf,auf,ADP
obere,ober,ADJ
gedreht,drehen,VERB
Stoffring,Stoffring,NOUN
Sache,Sache,NOUN
Stift,Stift,NOUN
hebt,heben,VERB
beiden,beide,DET
Steine,Stein,NOUN
voneinander,voneinander,ADV
ab,ab,ADP
fein,fein,ADJ
zunächst,zunächst,ADV
mittelgrobes,mittelgrobes,ADJ
entfernt,entfernen,VERB
Sieben,sieben,NUM
Spelzen,Spelz,NOUN
daß,daß,SCONJ
feingemahlene,feingemahlen,ADJ
grobgemahlene,grobgemahlen,ADJ
mittelgroben,mittelgroben,ADJ
übrigbleiben,übrigbleiben,VERB
bleiben,bleiben,VERB
Arten,Art,NOUN
feiner,fein,ADJ
grober,grob,ADJ
ḳawarma,ḳawarma,PROPN
Hackfleisch,Hackfleisch,NOUN
ißt,essen,VERB
doch,doch,ADV
jetzt,jetzt,ADV
gäbe,geben,VERB
versuchen,versuchen,VERB
dich,du,PRON
kosten,kosten,NOUN
könnten,können,AUX
siehst,sehen,VERB
blasen,blasen,VERB
Schmutzteilchen,Schmutzteilchen,NOUN
reinigen,reinigen,VERB
trocknen,trocknen,VERB
labaniyye,labaniyye,PROPN
Joghurt,Joghurt,NOUN
entweder,entweder,CCONJ
šúšbarak,šúšbarak,PROPN
gefüllte,gefüllt,ADJ
Teigtaschen,Teigtaschen,NOUN
Hammelhaxen,Hammelhaxen,NOUN
solche,solcher,DET
Sachen,Sache,NOUN
rufen,rufen,VERB
Ein,ein,DET
Braut,Braut,NOUN
Hausfrau,Hausfrau,NOUN
ohne,ohne,ADP
süsbarak,süsbarak,PROPN
gekocht,kochen,VERB
sagen,sagen,VERB
Oh,oh,INTJ
weh,Weh,NOUN
bei,bei,ADP
Witwe,Witwe,NOUN
nichts,nichts,PRON
natürlich,natürlich,ADJ
deshalb,deshalb,ADV
ihr,sie,PRON
Name,Name,NOUN
geronnener,geronnen,ADJ
geronnen,gerinnen,VERB
schmeckt,schmecken,VERB
sehr,sehr,ADV
vielleicht,vielleicht,ADV
schon,schon,ADV
unserem,unser,DET
weiß,wissen,NOUN
ob,ob,SCONJ
jedenfalls,jedenfalls,ADV
breiten,breit,VERB
jedes,jeder,DET
gesprochen,sprechen,VERB
Nicht,nicht,PART
war,sein,AUX
früheren,früh,ADJ
Zeiten,Zeit,NOUN
Backöfen,Backof,NOUN
manchmal,manchmal,ADV
ausfielen,ausfielen,VERB
backen,backen,VERB
konnten,können,AUX
wegen,wegen,ADP
Schneemengen,Schneemeng,NOUN
Schneefälle,Schneefall,NOUN
kamen,kommen,VERB
desto,desto,ADV
blockierten,blockieren,VERB
Wege,Weg,NOUN
hinuntergehen,hinuntergehen,VERB
Mann,Mann,NOUN
mußte,müssen,AUX
Steppe,Steppe,NOUN
hacken,hacken,VERB
Bündeln,Bündel,NOUN
Backofen,Backofe,NOUN
fanden,finden,VERB
Gehen,gehen,VERB
beschwerlich,beschwerlich,ADJ
gab,geben,VERB
Schnee-,Schnee,NOUN
Regenfälle,Regenfall,NOUN
wenige,wenig,DET
hatte,haben,VERB
halbkugelförmiges,halbkugelförmiges,ADJ
Backblech,Backblech,NOUN
knetete,kneten,VERB
Topf,Topf,NOUN
Teig,Teig,NOUN
viertel,viertel,ADJ
stellte,stellen,VERB
ging,gehen,VERB
hoch,hoch,ADJ
wälzte,wälzen,VERB
leicht,leicht,ADJ
gebogenes,gebogen,ADJ
Blech,Blech,NOUN
schwingt,schwingen,VERB
Brot,Brot,NOUN
vielmehr,vielmehr,ADV
fladen,fladen,VERB
klatscht,klatschen,VERB
halbkugelförmige,halbkugelförmig,ADJ
versammelten,versammelt,VERB
beieinander,beieinander,ADV
Nachbarschaft,Nachbarschaft,NOUN
gegenseitig,gegenseitig,ADJ
setzten,setzen,VERB
sonnten,sonnen,VERB
backt,backen,VERB
Familie,Familie,NOUN
Soundso,Soundso,DET
toll,toll,ADJ
unser,unser,DET
Mittagessen,Mittageß,NOUN
heute,heute,ADV
euch,ihr,PRON
herzlich,herzlich,ADJ
willkommen,willkommen,ADJ
Bitte,bitten,ADV
Nachbarn,Nachbar,NOUN
sagte,sagen,VERB
Was,was,PRON
Herzlich,herzlich,ADJ
gingen,gehen,VERB
Dieser,dieser,DET
buken,buken,NOUN
machten,machen,VERB
Häusern,Haus,NOUN
heutzutage,heutzutage,ADV
ausgeruht,ausruhen,ADJ
früher,früher,ADJ
waren,sein,AUX
erschöpft,erschöpfen,ADJ
kneteten,kneten,VERB
Dämmerung,Dämmerung,NOUN
anbrach,anbrechen,VERB
wach,wach,ADV
Nacht,Nacht,NOUN
verbringen,verbringen,VERB
flickten,flickten,VERB
Ernten,Ernte,NOUN
Männer,Mann,NOUN
strengten,strengen,VERB
immerzu,immerzu,ADV
kaufen,kaufen,VERB
zurück,zurück,ADV
wollen,wollen,AUX
Weizen,Weizen,NOUN
bestehende,bestehend,ADJ
xeška,xeška,PROPN
zubereiten,zubereiten,VERB
schön,schön,ADJ
Bottich,Bottich,NOUN
sauber,sauber,ADJ
wiederum,wiederum,ADV
schüren,schüren,VERB
darunter,darunter,ADV
Weizenkörner,Weizenkörner,NOUN
halb,halb,ADJ
durchgekocht,durchkochen,VERB
Bettücher,Bettuch,NOUN
decken,decken,VERB
schütteln,schütteln,VERB
suchen,suchen,VERB
Korn,Korn,NOUN
Körner,Korn,NOUN
los,los,ADV
Mühle,Mühle,NOUN
schroten,schrieten,VERB
Graupen,Graupe,NOUN
erste,erst,ADJ
hervorgeholt,hervorholen,VERB
zweite,zweit,ADJ
feines,fein,ADJ
grobes,grob,NOUN
arabischer,arabisch,ADJ
Jasmin,Jasmin,PROPN
frische,frisch,NOUN
süße,süß,NOUN
saure,sauer,ADJ
kippen,kippen,VERB
quetschen,quetschen,VERB
kneten,kneten,VERB
Seide,Seide,NOUN
täglich,täglich,ADJ
durchkneten,durchknen,VERB
führen,führen,VERB
Durchkneten,Durchknete,NOUN
nein,nein,PART
zehn,zehn,NUM
herausnehmen,herausnehmen,VERB
steigen,steigen,VERB
schönen,schön,ADJ
weißen,weiß,ADJ
zwischen,zwischen,ADP
Fingern,Finger,NOUN
Würstchen,Würstchen,NOUN
herausgequetscht,herausqequetschen,VERB
verteilt,verteilen,VERB
braucht,brauchen,VERB
zerquetscht,zerquetschen,VERB
weichgemacht,weichmachen,VERB
ins,in,ADP
hinabgestiegen,hinabsteigen,VERB
Helferinnen,Helferin,NOUN
jede,jeder,DET
beginnt,beginnen,VERB
legen,legen,VERB
verdirbt,verdirben,VERB
gelegt,legen,VERB
trocknet,trocknen,VERB
Kanister,Kanister,NOUN
anbraten,anbraten,VERB
komm,kommen,VERB
koste,kosen,VERB
kleines,klein,ADJ
Kind,Kind,NOUN
mein,mein,DET
Alter,Alter,NOUN
zwölf,zwölf,NUM
Jahre,Jahr,NOUN
hütete,hüten,VERB
Ziegen,Ziege,NOUN
erreichte,erreichen,VERB
Schnee,Schnee,NOUN
Wind,Wind,NOUN
wohin,wohin,ADV
sollte,sollen,AUX
Ich,ich,PRON
konnte,können,AUX
zurückkehren,zurückkehren,VERB
Ḥrīpča,Ḥrīpča,PROPN
sperrte,sperren,VERB
kehrte,kehren,VERB
kam,kommen,VERB
hierher,hierher,ADV
fragte,fragen,VERB
meinem,mein,PRON
Vater,Vater,NOUN
sagten,sagen,VERB
Ja,Ja,ADV
dein,dein,PRON
Nažīb,Nažīb,PROPN
Mlōḥa,Mlōḥa,PROPN
meine,mein,DET
Mutter,Mutter,NOUN
rief,rufen,VERB
herbei,herbei,ADV
betrunken,betrunken,ADJ
zornig,zornig,ADJ
mich,ich,PRON
Warum,warum,ADV
zurückgelassen,zurücklassen,VERB
bist,sein,AUX
gekommen,kommen,VERB
Sofort,sofort,ADV
wirst,werden,AUX
aufmachen,aufmachen,VERB
Dezember/Januar,Dezember/Januar,NOUN
Meter,Meter,NOUN
schickte,schicken,VERB
Höhle,Höhle,NOUN
weder,weder,CCONJ
Licht,Licht,NOUN
sonst,sonst,ADV
irgendetwas,irgendetwas,PRON
Weile,Weile,NOUN
bellten,bellen,VERB
Hunde,Hund,NOUN
hinaus,hinaus,ADV
stand,stehen,VERB
Hyäne,Hyäne,NOUN
Türe,Tur,NOUN
überhaupt,überhaupt,ADV
hinausgehen,hinausgehen,VERB
einmal,einmal,ADV
saß,sitzen,VERB
ah,ah,INTJ
bisčanō,bisčanō,PROPN
Dorfplatz,Dorfplatz,NOUN
Händler,Händler,NOUN
Naxle,Naxle,PROPN
Nimr,Nimr,PROPN
Salīm,Salīm,PROPN
Žaržūra,Žaržūra,PROPN
Sarkes,Sarkes,PROPN
Sirḥan,Sirḥan,PROPN
Gehst,gehen,VERB
holst,holen,VERB
uns,wir,PRON
Zigaretten,Zigarette,NOUN
Gebt,geben,VERB
mir,ich,PRON
fünfundzwanzig,fünfundzwanzig,NUM
Lire,Lira,PROPN
dafür,dafür,ADV
sammelten,sammeln,VERB
Geld,Geld,NOUN
gaben,geben,VERB
machte,machen,VERB
zog,ziehen,VERB
Kisten,Kiste,NOUN
begegnete,begegnen,VERB
alter,alt,ADJ
Mensch,Mensch,NOUN
wo,wo,ADV
gehst,gehen,VERB
Willst,wollen,AUX
deiner,der,DET
Entscheidung,Entscheidung,NOUN
Abstand,Abstand,NOUN
gehe,gehen,VERB
Yabrūd,Yabrūd,PROPN
Bleib,Bleib,NOUN
stehen,stehen,VERB
bleib,bleiben,VERB
Geh,gehen,VERB
Nein,nein,PART
brachte,bringen,VERB
Mantel,Mantel,NOUN
Flachmann,Flachmann,NOUN
Arrak,Arrak,PROPN
Diese,dieser,DET
brauchst,brauchsen,VERB
Weg,Weg,NOUN
verstaute,verstauen,VERB
lud,leiden,VERB
fand,finden,VERB
keine,kein,DET
In,in,ADP
Nabk,Nabk,PROPN
welche,welcher,DET
Also,also,ADV
abquälen,abquälen,VERB
klar,klar,ADJ
dahinging,dahinging,NOUN
begann,beginnen,VERB
fallen,fallen,VERB
ereignete,ereignen,VERB
Februar,Februar,NOUN
nahe,nahe,ADV
daran,daran,ADV
unterzugehen,unterzuhehen,VERB
namens,namens,ADP
Johannes,Johannes,PROPN
Šōʕra,Šōʕra,PROPN
wohnt,wohnen,VERB
zwang,zwingen,VERB
ließ,lassen,VERB
schlafen,schlafen,VERB
lag,liegen,VERB
Elle,Elle,PROPN
Ändere,Ändere,NOUN
Vorhaben,Vorhaben,NOUN
Laß,Laß,NOUN
wegzugehen,wegeugehen,VERB
ritt,reiden,VERB
Sturm,Sturm,NOUN
Weltuntergang,Weltuntergang,NOUN
Wo,wo,ADV
steigt,steigen,VERB
Fremder,Fremder,NOUN
beschrieben,beschreiben,VERB
Ort,Ort,NOUN
Wirtin,Wirtin,NOUN
dir,der,DET
übernachten,übernehhen,VERB
lasse,lassen,VERB
gerne,gerne,ADV
herrscht,herrschen,VERB
starker,stark,ADJ
Schneefall,Schneefall,NOUN
Viertelstunde,Viertelstunde,NOUN
abgestiegen,absteigen,VERB
hellte,hellen,VERB
Welt,Welt,NOUN
Bei,bei,ADP
Gott,Gott,NOUN
übers,übers,ADV
Ohr,Ohr,NOUN
hauen,hauen,VERB
kassiert,kassieren,VERB
öffnete,öffnen,VERB
ganz,ganz,ADJ
holte,holen,VERB
bemerkte,bemerken,VERB
tränken,tränken,VERB
jemand,jemand,PRON
Wetter,Wetter,NOUN
Bist,sein,AUX
verrückt,verrücken,ADJ
band,bind,NOUN
Markt,Markt,NOUN
kaufte,kaufen,VERB
Kilo,Kilo,NOUN
Fische,Fisch,NOUN
Rās,Rās,PROPN
il,il,X
ʕAyn,ʕAyn,PROPN
angekommen,ankommen,VERB
zuvor,zuvor,ADV
stapfte,stapfen,VERB
entlangging,entlanggingen,VERB
sehen,sehen,VERB
heilige,heilig,NOUN
Maria,Maria,PROPN
Kraft,Kraft,NOUN
Gottes,Gott,NOUN
mögest,mösen,VERB
Menschen,Mensch,NOUN
beistehen,beistehen,VERB
unterwegs,unterwegs,ADV
Wort,Wort,NOUN
Weidegrund,Weidegrund,NOUN
Baxʕa,Baxʕa,PROPN
brach,brechen,VERB
Dächern,Dach,NOUN
begannen,beginnen,VERB
Einwohner,Einwohner,NOUN
diejenigen,derjenige,DET
schaufelten,schaufeln,VERB
Komm,kommen,VERB
bewegen,bewegen,VERB
Füßen,Fuß,NOUN
ankam,ankommen,VERB
Zügel,Zügel,NOUN
gepackt,packen,VERB
Kälte,Kälte,NOUN
wärmen,wärmen,VERB
holten,holten,VERB
wickelten,wickeln,VERB
Fell,Fell,NOUN
Wein,Wein,NOUN
einzuflößen,einflößen,VERB
habe,haben,AUX
mitgebracht,mitbringen,VERB
engen,eng,ADJ
Durchgang,Durchgang,NOUN
Sprechers,Sprecher,NOUN
führt,führen,VERB
liegengeblieben,liegenblieben,VERB
Katzen,Katze,NOUN
fressen,fressen,VERB
brieten,brieten,VERB
aßen,aß,NOUN
ereignen,ereignen,VERB
Sturzbäche,Sturzbach,NOUN
aber,aber,CCONJ
größte,groß,NOUN
Sturzbach,Sturzbach,PROPN
neunzehnhundertachtundvierzig,neunzehnhundertachtundvierzig,NUM
nannte,nennen,VERB
Emmil,Emmil,PROPN
jener,jener,DET
siebten,siebt,ADJ
August,August,NOUN
Sommer,Sommer,NOUN
emmil,emmil,NOUN
gerade,gerade,ADV
Quelle,Quelle,NOUN
spülte,spülen,VERB
Geschirr,Geschirr,NOUN
herabkam,herabken,VERB
riefen,rufen,VERB
flüchtete,flüchten,VERB
Nachdem,nachdem,SCONJ
ihrer,ihr,DET
Tür,Tür,NOUN
unterhalb,unterhalb,ADP
Hauses,Haus,NOUN
Ruzḳalla,Ruzḳalla,PROPN
fiel,fallen,VERB
Riegel,Riegel,NOUN
